formatted_date,IBM,RR.L,EBAY,INTC,NKE
28/3/16,124.4118805,,23.65261841,28.69121361,58.5180397
29/3/16,125.1915665,627.2994385,23.63300323,29.12293243,58.66113663
30/3/16,124.4202805,641.7147827,23.57416916,29.41973686,59.18584061
31/3/16,126.9689102,634.2746582,23.39765358,29.09594727,58.64205551
1/4/16,127.865921,616.1391602,23.41726494,29.18589401,58.75653839
4/4/16,127.4886246,613.3491211,23.56435966,28.78115845,57.21107483
5/4/16,125.7532272,606.3740845,23.91738319,28.69121361,56.92486954
6/4/16,125.7700348,611.9541016,24.93723106,28.85311127,57.53542328
7/4/16,124.2861481,609.1640625,23.63300323,28.37641907,57.52587891
8/4/16,125.2083435,620.3242188,23.60358429,28.44837379,56.68636703
11/4/16,125.1244812,617.5342407,23.5937767,28.4843502,55.25537872
12/4/16,125.4430618,611.4891357,23.94680214,28.65524101,55.85639191
13/4/16,126.7844162,627.2994385,24.59401131,28.89808083,56.83900452
14/4/16,126.725769,624.9744263,24.72149086,28.60127068,56.75315094
15/4/16,127.1952362,618.4642334,24.73130035,28.2954731,56.7626915
18/4/16,127.8742981,618.9292603,24.81955338,28.46635818,56.82946777
19/4/16,120.7231522,647.7599487,23.82912636,28.42139435,56.8199234
20/4/16,122.4920731,636.1346436,24.18215179,28.78115845,56.87717056
21/4/16,125.16642,643.5749512,24.21157265,28.75416946,57.31601715
22/4/16,124.4957275,636.1346436,23.92719078,28.45736694,56.69591904
25/4/16,124.7556458,625.9044189,23.7506752,28.23251152,56.48603821
26/4/16,124.9819794,622.1843262,24.0154438,28.24150658,56.8008461
27/4/16,126.1473007,625.9044189,24.78033257,28.55630302,56.54327011
28/4/16,123.2968903,652.3167114,24.14292908,27.98067856,55.84685516
29/4/16,122.3495331,629.288147,23.95660973,27.23417091,56.22845459
2/5/16,121.7878418,,23.78990173,27.53097725,56.84855652
3/5/16,120.8321075,603.4398804,23.51532745,27.30612183,56.78176117
4/5/16,120.932724,606.2597656,23.3388176,27.07932472,56.39063644
5/5/16,122.7938614,592.1607056,23.34862137,27.12468338,55.51295853
6/5/16,124.6729431,607.6696777,23.35842705,27.25169182,55.74191284
9/5/16,125.9121094,603.4398804,23.55455589,27.03396606,56.01857376
10/5/16,128.1596222,609.5496826,23.69184113,27.34241104,56.47649765
11/5/16,127.2879257,618.9488525,23.2799778,27.26983643,54.38723755
12/5/16,127.1939621,604.8499146,23.12307549,26.99768066,55.32215881
13/5/16,126.2368011,610.9594116,23.31920433,27.13375854,54.67344666
16/5/16,127.7237701,623.1786499,23.3388176,27.56920433,54.51126099
17/5/16,126.4761047,624.1185913,22.81908607,27.1972599,54.47309494
18/5/16,125.9121094,616.5991211,23.23094749,27.20633316,53.53818893
19/5/16,123.8525848,596.3904419,22.96617889,26.87974358,54.41586685
20/5/16,125.8351898,604.3797607,23.19172096,27.35147858,53.88162613
23/5/16,125.4249725,596.8602905,23.00540161,27.42405128,53.41417694
24/5/16,126.7410355,600.1501465,23.58397102,28.1770134,53.98656464
25/5/16,129.6294403,586.5211182,23.57416916,28.47637939,53.41417694
26/5/16,130.270401,587.9309082,23.65261841,28.56709862,53.27107239
27/5/16,130.6122131,578.0615845,23.88796425,28.63967705,53.6049614
31/5/16,131.3813324,581.8213501,23.98602676,28.65781784,52.67959976
1/6/16,130.3302307,568.6622314,23.60358429,28.7213192,52.4029274
2/6/16,131.1762085,570.5421143,23.78009415,28.81204414,52.17330551
3/6/16,130.6549683,569.1322632,23.51532745,28.6850338,51.13999176
6/6/16,130.5182343,575.711792,23.52513504,28.73946762,51.95324707
7/6/16,131.0309601,570.0722046,23.809515,28.92090034,51.23566437
8/6/16,131.6035004,574.7717896,23.76048279,28.9299736,51.78102493
9/6/16,131.1078491,563.4925537,23.85854721,28.97533417,52.56558228
10/6/16,130.2105713,567.2523804,23.60358429,29.06605339,52.72824478
13/6/16,129.2790833,564.4325562,23.42707062,29.18397903,52.53688431
14/6/16,129.0910797,563.9625854,23.41726494,29.15676689,51.78102493
15/6/16,128.7663574,575.711792,23.49571609,28.67596436,51.96281052
16/6/16,129.0910797,566.7822876,23.3878479,28.74853516,51.15911865
17/6/16,129.8858337,578.0615845,23.32901001,28.81204414,51.38874817
20/6/16,131.2702332,595.9204712,24.09389305,29.18397903,52.01065445
21/6/16,131.6462555,593.1005859,24.22137642,29.32006264,52.4029274
22/6/16,130.680603,597.3303833,23.86835289,29.29285049,52.211586
23/6/16,132.7571716,605.7897949,24.36846924,29.92787361,51.78102493
24/6/16,125.2711716,610.0194702,22.68180084,28.62152863,50.31715012
27/6/16,122.6305618,612.8393555,22.27974319,27.86857224,49.64739609
28/6/16,124.5105896,629.288147,22.5445118,28.29494667,50.79553986
29/6/16,126.8691864,662.1860352,22.8583107,28.96626091,52.7473793
30/6/16,129.7063599,668.765564,22.95637131,29.75550842,52.81436157
1/7/16,130.1934814,668.765564,23.31920433,29.71014786,53.20663071
5/7/16,129.6209259,668.2956543,23.29959297,29.64664078,52.81436157
6/7/16,130.2105713,657.0163574,23.36823654,29.90973091,53.3884201
7/7/16,130.4071198,684.7445679,23.46629715,30.11837959,53.50322723
8/7/16,131.9966278,690.8540649,24.13312149,30.84412384,54.26865768
11/7/16,132.7401123,680.5147705,24.37827682,31.18885803,54.37390518
12/7/16,134.2014008,680.5147705,24.64304352,31.6968708,55.5507431
13/7/16,135.0388947,701.6635132,24.63323784,31.76037979,55.48377609
14/7/16,136.9701996,701.6635132,25.57463455,31.93273544,55.96216202
15/7/16,136.5429382,699.7835083,25.82959557,31.81480026,55.36895752
18/7/16,136.6112823,693.6740112,25.97669029,31.79666519,55.2445755
19/7/16,136.3720093,695.0839233,25.98649597,31.88738632,55.26370621
20/7/16,137.893158,698.3736572,26.46700287,32.3772583,55.26370621
21/7/16,137.1154938,699.3135986,29.35003281,31.08906555,54.52698898
22/7/16,138.4998627,677.2250366,29.89918137,31.44285774,54.27822495
25/7/16,138.9955292,674.8752441,30.08549881,31.47007561,54.67050934
26/7/16,138.5426025,683.3345337,30.79154587,31.83295441,53.9337883
27/7/16,138.2947998,688.0343628,30.70329094,31.59709167,53.37885666
28/7/16,137.9016876,781.0881958,30.5660038,31.54264641,53.05355453
29/7/16,137.2607574,743.4906616,30.55619812,31.6242981,53.10138702
1/8/16,137.9700623,743.9605103,30.64445496,31.61522102,53.01527786
2/8/16,137.2265778,714.8225708,30.19336891,31.35214806,52.54644775
